experiment_name,time,accuracy,recall,f1,precision
anomaly_detection_MSL_Informer_MSL_ftM_sl100_ll48_pl0_dm128_nh8_el3_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,2025-06-04 03:00:46,0.963732446013853,0.73689672933299,0.8108241368219861,0.9012387674688891
anomaly_detection_MSL_Reformer_MSL_ftM_sl100_ll48_pl0_dm128_nh8_el3_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,2025-06-04 03:11:10,0.963774955860383,0.7370667010043781,0.8110393138826684,0.9015162134195991
anomaly_detection_MSL_Pyraformer_MSL_ftM_sl100_ll48_pl0_dm128_nh8_el3_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,2025-06-04 03:18:45,0.9573244601385305,0.6846986865825393,0.7719232282350071,0.8846153846153846
anomaly_detection_MSL_Crossformer_MSL_ftM_sl100_ll48_pl0_dm128_nh8_el3_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,2025-06-04 03:30:59,0.9630607089501562,0.7278083955704352,0.8060603986263705,0.9031664259143263
anomaly_detection_MSL_MICN_MSL_ftM_sl100_ll48_pl0_dm128_nh8_el3_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,2025-06-04 03:33:40,0.9606379193263616,0.7198055627092455,0.7941342141246249,0.8855812111370748
anomaly_detection_MSL_Autoformer_MSL_ftM_sl100_ll48_pl0_dm128_nh8_el3_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,2025-06-04 03:39:43,0.9662852098329485,0.7579551892866341,0.825855946483264,0.9071194548295726
anomaly_detection_PSM_DLinear_PSM_ftM_sl100_ll48_pl100_dm128_nh8_el3_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,2025-06-04 03:40:26,0.9816689840669235,0.946852983643848,0.9662777835085699,0.9865162805552059
anomaly_detection_PSM_Transformer_PSM_ftM_sl100_ll48_pl0_dm128_nh8_el3_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,2025-06-04 03:42:44,0.9523696747281803,0.831468684333579,0.9064015953372578,0.9961783282709188
anomaly_detection_PSM_TimesNet_PSM_ftM_sl100_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,2025-06-04 03:52:41,0.9857128855052313,0.9629613650315445,0.9739514761619787,0.9851953397921117
anomaly_detection_PSM_Autoformer_PSM_ftM_sl100_ll48_pl0_dm128_nh8_el3_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,2025-06-04 03:56:49,0.9415976385311481,0.7895432555012898,0.8823467555665762,0.9998725125640169
anomaly_detection_SMAP_Transformer_SMAP_ftM_sl100_ll48_pl0_dm128_nh8_el3_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,2025-06-04 04:02:13,0.9426854073980511,0.6137415898786017,0.7326207445016142,0.9086157858723567
anomaly_detection_SMAP_TimesNet_SMAP_ftM_sl100_ll48_pl0_dm128_nh8_el3_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,2025-06-04 05:11:36,0.9362177966775668,0.5640555068012286,0.6935183520060424,0.9001137848940342
anomaly_detection_SMAP_Autoformer_SMAP_ftM_sl100_ll48_pl0_dm128_nh8_el3_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,2025-06-04 05:18:48,0.9438022258711913,0.6252638218516894,0.740051817474213,0.9064633504398011
